"","mach","narc","psyc"
"1230",36,19,24
"1231",32,6,9
"1232",30,2,7
"1233",35,10,15
"1234",40,25,20
"1235",41,16,24
"1236",35,17,15
"1237",38,5,10
"1238",34,7,18
"1239",27,9,10
"1240",18,4,7
"1241",20,-6,0
"1242",38,0,9
"1243",31,14,14
"1244",40,12,14
"1245",39,3,16
"1246",28,16,8
"1247",27,8,7
"1248",36,11,10
"1249",42,19,26
"1250",42,17,18
"1251",36,12,21
"1252",33,15,17
"1253",38,5,10
"1254",44,10,15
"1255",36,4,7
"1256",33,8,13
"1257",38,11,21
"1258",31,3,4
"1259",38,17,29
"1260",38,8,15
"1261",41,9,23
"1262",43,11,17
"1263",31,5,10
"1264",29,2,15
"1265",29,15,8
"1266",37,14,19
"1267",34,20,11
"1268",31,2,13
"1269",41,8,12
"1270",43,23,31
"1271",22,14,4
"1272",36,20,16
"1273",27,-1,9
"1274",24,11,11
"1275",31,-1,10
"1276",17,-4,2
"1277",36,14,16
"1278",28,5,14
"1279",37,10,16
"1280",40,6,12
"1281",45,5,25
"1282",37,15,12
"1283",27,0,9
"1284",32,7,5
"1285",20,11,6
"1286",39,18,18
"1287",23,15,7
"1288",45,16,18
"1289",30,4,17
"1290",34,15,24
"1291",39,-1,16
"1292",39,-1,10
"1293",35,11,18
"1294",16,-6,1
"1295",32,3,9
"1296",29,4,0
"1297",16,-4,1
"1298",22,3,2
"1299",45,4,18
"1300",41,3,17
"1301",37,5,16
"1302",44,27,28
"1303",41,21,14
"1304",37,10,23
"1305",30,0,8
"1306",42,19,21
"1307",36,21,11
"1308",38,17,16
"1309",45,19,29
"1310",34,13,14
"1311",41,22,18
"1312",23,10,7
"1313",38,8,16
"1314",36,13,24
"1315",34,2,5
"1316",37,11,14
"1317",38,17,20
"1318",34,17,15
"1319",33,7,12
"1320",38,12,11
"1321",33,5,12
"1322",42,22,25
"1323",37,14,11
"1324",43,20,27
"1325",26,4,6
"1326",30,6,12
"1327",44,18,15
"1328",29,13,5
"1329",26,1,9
"1330",26,-1,6
"1331",40,12,14
"1332",39,4,16
"1333",30,7,5
"1334",27,3,6
"1335",35,14,11
"1336",24,-1,-1
"1337",32,11,18
"1338",38,9,21
"1339",34,7,11
"1340",32,5,6
"1341",31,16,6
"1342",32,6,3
"1343",15,0,8
"1344",44,12,17
"1345",41,2,7
"1346",30,20,23
"1347",36,5,16
"1348",23,1,3
"1349",37,8,23
"1350",26,11,5
"1351",39,22,31
"1352",36,-1,12
"1353",19,6,3
"1354",39,22,19
"1355",25,7,7
"1356",45,20,25
"1357",36,7,20
"1358",43,20,27
"1359",41,12,25
"1360",39,7,13
"1361",25,6,3
"1362",26,1,14
"1363",41,8,24
"1364",33,-3,7
"1365",41,14,17
"1366",44,14,19
"1367",25,7,3
"1368",38,10,14
"1369",31,0,7
"1370",33,6,3
"1371",45,1,32
"1372",33,7,22
"1373",36,7,11
"1374",41,13,17
"1375",35,21,23
"1376",33,12,14
"1377",33,20,18
"1378",31,9,12
"1379",32,17,12
"1380",38,7,25
"1381",31,12,8
"1382",33,14,20
"1383",36,4,18
"1384",45,8,17
"1385",41,15,18
"1386",40,19,13
"1387",34,11,6
"1388",36,18,8
"1389",20,-1,0
"1390",22,8,10
"1391",33,18,28
"1392",33,5,15
"1393",29,11,7
"1394",37,6,23
"1395",40,11,15
"1396",30,6,13
"1397",39,15,19
"1398",36,10,14
"1399",29,7,2
"1400",31,13,11
"1401",38,17,15
"1402",28,13,6
"1403",26,-2,5
"1404",35,9,16
"1405",27,13,16
"1406",27,6,7
"1407",10,-3,-2
"1408",31,15,17
"1409",36,21,22
"1410",38,11,7
"1411",33,6,23
"1412",20,4,5
